,STATEFP,COUNTYFP,ALAND,AWATER
569,51,610,5300265,32
570,29,199,1130548364,7217862
571,02,158,44221226622,6694349084
572,13,243,1109126228,6830041
573,18,041,556901555,366408
574,48,179,2398261664,8700790
575,48,239,2148246713,71039573
576,38,009,4321196488,74864998
577,60,040,2432605,149170816
578,17,007,727171389,3361806
579,38,019,3856393937,54384493
580,60,050,72498513,196726219
581,01,099,2656469661,22609681
582,24,001,1093457887,14805576
583,28,043,1093291084,70659563
584,28,079,1509697183,6376466
585,29,063,1091311297,11561836
586,29,129,1175427728,3302140
587,31,061,1491355860,487899
588,31,099,1337063541,274634
589,28,105,1186831624,9568768
590,29,049,1085094840,11719847
591,72,021,114816257,477626
592,72,029,85127778,364682
593,72,063,72228546,1101112
594,72,055,95959907,109853312
595,28,099,1476641122,3830971
596,08,003,1871465869,1847610
597,12,059,1240232909,26393537
598,53,037,5949976986,92436008
599,12,117,801344504,93079561
600,13,275,1410531714,19706578
601,28,013,1519218196,3590388
602,46,049,2542569585,62678930
603,46,089,2943892839,38569612
604,28,041,1845978522,15435970
605,72,115,58747684,30224116
606,72,099,130383573,56474
607,27,111,5107063593,654473685
608,28,057,1379933023,19825536
609,29,071,2389887656,20576397
610,17,141,1964742119,11425028
611,39,051,1050100890,4588525
612,51,640,21332076,105290
613,47,017,1547925982,6308712
614,20,085,1699600348,4666513
615,20,095,2236100137,8536908
616,45,009,1018815107,5686290
617,31,163,1465489231,15062146
618,04,005,48222143094,110123852
619,28,113,1059350500,4341105
620,29,139,1385765330,14100635
621,02,188,92329079390,12875662550
622,20,185,2051389756,7435417
623,17,105,2702980759,5975818
624,16,037,12748378759,42527192
625,48,381,2361876733,27235708
626,48,445,2302083289,5443860
627,39,157,1469641516,10408848
628,39,059,1352631199,15666074
629,13,165,899567326,13334498
630,72,105,70969183,898340
631,16,085,9492607314,177116417
632,31,175,1471402793,6076916
633,20,137,2274122715,8421464
634,29,047,1029948190,28501892
635,18,157,1292163442,11230864
636,18,093,1163367154,7122898
637,48,083,3270933224,47963343
638,08,101,6179916826,30267494
639,48,431,2391722770,167451
640,48,461,3215010600,464309
641,48,495,2178876162,19838
642,48,319,2405674101,8755301
643,48,169,2313930833,7215531
644,48,263,2337482036,1065195
645,48,433,2373238700,10177387
646,48,207,2339103809,18465208
647,48,183,708052198,6206414
648,48,449,1051683621,50727817
649,31,067,2205275200,22010741
650,48,343,652649200,17382278
651,31,059,1490202784,2989990
652,36,033,4219643543,176696509
653,36,093,529858774,12597881
654,36,035,1283234675,96916406
655,40,069,1665212040,39633309
656,40,123,1865885645,12421414
657,39,009,1304386902,12461327
658,29,141,1547854701,42426936
659,46,067,2105694681,3644221
660,29,043,1457242845,3013096
661,42,131,1029016037,20034373
662,13,099,1327626600,9702715
663,27,121,1734134606,123231111
664,28,035,1207042884,10872916
665,40,127,3615212653,69974517
666,16,059,11819910408,14109812
667,27,001,4718433597,449373340
668,48,503,2368538309,42373290
669,20,049,1668636737,16061121
670,21,219,969956835,6613906
671,02,220,7433305216,5037858065
672,23,009,4110632352,1962709452
673,40,145,1454465392,75363227
674,18,055,1404983918,8919617
675,30,049,8957164709,101496098
676,28,103,1800451918,12487951
677,30,001,14355492103,78345289
678,31,023,1514886625,15307372
679,31,183,1489717865,1059454
680,27,043,1845309110,24414852
681,19,075,1299797785,94406
682,38,013,2858265122,65701651
683,55,049,1975379906,13870324
684,38,073,2233494144,3581126
685,48,205,3786435510,3023183
686,55,033,2201905274,35570213
687,18,119,997911603,6566400
688,48,293,2345053182,71830221
689,38,081,2223519135,21740933
690,48,311,2952065878,43985814
691,39,031,1460611200,9162734
692,37,185,1111412939,39320084
693,26,079,1449729125,28020185
694,49,043,4844778489,26615946
695,19,109,2519361794,4125592
696,01,013,2012002530,2701198
697,19,181,1475873112,9097100
698,02,105,16981566503,7801359160
699,22,093,625594223,42156577
700,20,195,2303727353,26281951
701,17,145,1144157907,13416186
702,48,345,2562963901,644140
703,06,071,51954895600,117095140
704,69,100,85096800,539092797
705,47,081,1586324709,373710
706,48,505,2585876219,154370982
707,40,097,1697432140,72855327
708,38,049,4853553114,97384707
709,47,047,1825359412,3774866
710,28,133,1807187010,23747315
711,72,019,88714042,77812
712,13,235,645583955,5046606
713,54,075,2435361700,3939156
714,26,075,1817861892,55976398
715,72,121,94050248,25323
716,40,129,2955516642,13690412
717,29,089,1201210650,19874965
718,19,197,1503269109,4703964
719,27,085,1272941861,36368633
720,48,451,3941965407,48077315
721,72,093,94851787,12487
722,18,135,1171656709,2420288
723,06,005,1539933577,29470567
724,17,095,1855569287,8837382
725,20,097,1871627782,596764
726,29,025,1104350538,8402195
727,48,257,2021939947,69763128
728,01,043,1903073019,52422496
729,05,085,1996628038,82740476
730,05,025,1548253400,2500196
731,08,031,397024697,4245400
732,08,089,3268424425,20092432
733,28,135,1671109435,17929624
734,13,071,1416784215,24904291
735,35,059,9906866299,15466855
736,48,133,2399637922,14009171
737,19,081,1478895049,5265568
738,19,091,1125014760,3376515
739,48,081,2361124368,42360663
740,19,037,1306221492,3426577
741,37,181,653708021,42184129
742,26,059,1549207127,22939158
743,51,025,1466539956,8381933
744,27,161,1096505107,24893715
745,26,137,1333913825,28997148
746,33,009,4425249656,106464220
747,39,079,1088598928,3167846
748,31,179,1147147015,1084590
749,48,191,2288233616,53366403
750,51,520,33420176,322409
751,37,081,1672848312,30420727
752,18,049,954146352,7426335
753,41,001,7945996793,51832631
754,21,035,997223465,66475493
755,46,079,1457881925,31781017
756,27,079,1162049817,65135543
757,45,081,1172999243,23404411
